,device,file,bug_type,context
0,iP11Pro,Text-03-bug-type-288-2025-0611-223013.docx,288," Text-03-bug-type-288-2025-0611-223013{""bug_type"":""288"",""timestamp"":""2025-06-11 22:30:13.00 +0700"",""os_version"":""iPhone OS 18.5 (22F76)"",""roots_installed"":0,""incident_id"":""97"
1,iP11Pro,Text-03-bug-type-288-2025-0611-223013.docx,288,"shot via sysdiagnose"",""frontmostPids"" : [34],""exception"" : ""0xbaaaaaad"",""codeSigningMonitor"" : 1,""roots_installed"" : 0,""bug_type"" : ""288"",""memoryStatus"" : {""compressorSize"":6134,""compressions"":25581,""decompressions"":6294,""busyBufferCount"":0,""memoryPressure"
2,iP11Pro,Text-10- bug-type-288-2025-0611-223013.docx,288," Text-10- bug-type-288-2025-0611-223013{""bug_type"":""288"",""timestamp"":""2025-06-11 22:30:13.00 +0700"",""os_version"":""iPhone OS 18.5 (22F76)"",""roots_installed"":0,""incident_id"":""97"
3,iP11Pro,Text-10- bug-type-288-2025-0611-223013.docx,288,"shot via sysdiagnose"",""frontmostPids"" : [34],""exception"" : ""0xbaaaaaad"",""codeSigningMonitor"" : 1,""roots_installed"" : 0,""bug_type"" : ""288"",""memoryStatus"" : {""compressorSize"":6134,""compressions"":25581,""decompressions"":6294,""busyBufferCount"":0,""memoryPressure"
4,iP12mini-1,2025-06-11-Analytics-Logs.docx,202,"rsion"":""1"",""bundleID"":""com.apple.DASDelegateService"",""duration_ms"":""109786"",""share_with_app_devs"":0,""is_first_party"":0,""bug_type"":""202"",""os_version"":""iPhone OS 18.5 (22F76)"",""roots_installed"":0,""name"":""DASDelegateService"",""incident_id"":""ABFE7078-BBC5-47E"
5,iP12mini-1,2025-06-11-Analytics-Logs-2.docx,309,"d_version"":""506"",""platform"":2,""bundleID"":""app.nicegram.NotificationService"",""share_with_app_devs"":0,""is_first_party"":0,""bug_type"":""309"",""os_version"":""iPhone OS 18.5 (22F76)"",""incident_id"":""0C257C22-B113-41E0-A2A9-45AB1721F389"",""name"":""NotificationService"
6,iP12mini-1,2025-06-11-Analytics-Logs-2.docx,309,"C22-B113-41E0-A2A9-45AB1721F389"",  ""pid"" : 319,  ""translated"" : false,  ""cpuType"" : ""ARM-64"",  ""roots_installed"" : 0,  ""bug_type"" : ""309"",  ""procLaunch"" : ""2025-06-11 20:18:40.7100 +0700"",  ""procStartAbsTime"" : 803287196,  ""procExitAbsTime"" : 825614542,  """
