,token,count
3,Viettel,19
1,BiomePubSub,15
5,duetexpertd,12
4,"bug[_ ]?type[\"":\s]*([0-9]{1,4})",7
6,viettel\.vn,6
2,CoreDuet,4
0,AppPredictionInternal,3
